frame_number,timestamp,src_mac,dst_mac,appid,gocb_ref,time_allowed,st_num,sq_num,test,conf_rev,nds_com,packet_size,time_diff
119,2025-08-16 16:09:15.372019,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155751,2,N/A,1,False,343,0.0024
120,2025-08-16 16:09:15.376365,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155751,3,N/A,1,False,343,0.004346
121,2025-08-16 16:09:15.383981,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155751,4,N/A,1,False,343,0.007616
122,2025-08-16 16:09:15.388021,00:60:36:76:21:88,01:0c:cd:01:05:37,0x0537,I_T1002ARPIT/LLN0$GO$gocb0,10000,2,52993,N/A,1,False,320,0.00404
123,2025-08-16 16:09:15.395914,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224198,0,N/A,1,False,315,0.007893
124,2025-08-16 16:09:15.398005,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224198,1,N/A,1,False,315,0.002091
125,2025-08-16 16:09:15.399975,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224198,2,N/A,1,False,315,0.00197
126,2025-08-16 16:09:15.404160,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224198,3,N/A,1,False,315,0.004185
127,2025-08-16 16:09:15.411982,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224198,4,N/A,1,False,315,0.007822
128,2025-08-16 16:09:15.756323,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155752,0,N/A,1,False,343,0.344341
129,2025-08-16 16:09:15.758292,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155752,1,N/A,1,False,343,0.001969
130,2025-08-16 16:09:15.760299,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155752,2,N/A,1,False,343,0.002007
131,2025-08-16 16:09:15.764277,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155752,3,N/A,1,False,343,0.003978
132,2025-08-16 16:09:15.772320,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155752,4,N/A,1,False,343,0.008043
133,2025-08-16 16:09:16.016184,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224199,0,N/A,1,False,315,0.243864
134,2025-08-16 16:09:16.018325,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224199,1,N/A,1,False,315,0.002141
135,2025-08-16 16:09:16.019964,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224199,2,N/A,1,False,315,0.001639
136,2025-08-16 16:09:16.024006,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224199,3,N/A,1,False,315,0.004042
137,2025-08-16 16:09:16.032059,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224199,4,N/A,1,False,315,0.008053
138,2025-08-16 16:09:16.104416,00:10:00:00:05:2c,01:0c:cd:01:05:2d,0x052d,C_T1003XPIGO/LLN0$GO$gocb2,10000,15,138176,N/A,1,False,288,0.072357
139,2025-08-16 16:09:16.164486,00:60:36:50:a3:26,01:0c:cd:01:05:33,0x0533,I_T1102ARPIT/LLN0$GO$gocb0,10000,34,55766,N/A,1,False,320,0.06007
140,2025-08-16 16:09:16.383995,00:a0:03:6a:70:60,01:0c:cd:01:05:32,0x0532,P_T1102APIGO/LLN0$GO$gocb0,10000,1,3079,N/A,1,False,233,0.219509
141,2025-08-16 16:09:16.404425,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155753,0,N/A,1,False,343,0.02043
142,2025-08-16 16:09:16.406218,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155753,1,N/A,1,False,343,0.001793
143,2025-08-16 16:09:16.408471,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155753,2,N/A,1,False,343,0.002253
144,2025-08-16 16:09:16.412406,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155753,3,N/A,1,False,343,0.003935
145,2025-08-16 16:09:16.420784,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155753,4,N/A,1,False,343,0.008378
146,2025-08-16 16:09:16.878748,00:60:36:50:a3:26,01:0c:cd:01:05:34,0x0534,I_T1102ARPIT/LLN0$GO$gocb1,10000,47,2906,N/A,1,False,356,0.457964
147,2025-08-16 16:09:16.922752,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155754,0,N/A,1,False,343,0.044004
148,2025-08-16 16:09:16.924911,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155754,1,N/A,1,False,343,0.002159
149,2025-08-16 16:09:16.927424,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155754,2,N/A,1,False,343,0.002513
150,2025-08-16 16:09:16.930874,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155754,3,N/A,1,False,343,0.00345
151,2025-08-16 16:09:16.939031,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155754,4,N/A,1,False,343,0.008157
152,2025-08-16 16:09:17.052864,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155755,0,N/A,1,False,343,0.113833
153,2025-08-16 16:09:17.054753,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155755,1,N/A,1,False,343,0.001889
154,2025-08-16 16:09:17.057595,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155755,2,N/A,1,False,343,0.002842
155,2025-08-16 16:09:17.060770,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155755,3,N/A,1,False,343,0.003175
156,2025-08-16 16:09:17.069925,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155755,4,N/A,1,False,343,0.009155
157,2025-08-16 16:09:17.080450,00:10:00:00:05:26,01:0c:cd:01:05:27,0x0527,C_T1102XPIGO/LLN0$GO$gocb2,10000,1,2908,N/A,1,False,287,0.010525
158,2025-08-16 16:09:17.080450,00:10:00:00:05:26,01:0c:cd:01:05:28,0x0528,C_T1102XPIGO/LLN0$GO$gocb3,10000,1,2908,N/A,1,False,165,0.0
159,2025-08-16 16:09:17.099980,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224200,0,N/A,1,False,315,0.01953
160,2025-08-16 16:09:17.101969,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224200,1,N/A,1,False,315,0.001989
161,2025-08-16 16:09:17.103993,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224200,2,N/A,1,False,315,0.002024
